20140106,000000,100.2000000,100.3100000,98.6200000,98.9100000,31402070
20140108,000000,99.1000000,99.4100000,97.8500000,98.1900000,42304620
20140109,000000,98.2400000,98.7700000,97.6900000,98.0000000,45619030
20140110,000000,97.8500000,99.3000000,97.5200000,99.2000000,51181490
20140113,000000,99.3000000,100.3500000,99.0400000,100.2500000,61750730
20140114,000000,99.1500000,99.7300000,98.5100000,99.2400000,78195860
20140115,000000,99.8000000,100.7900000,99.5600000,100.7700000,77459850
20140116,000000,100.9000000,101.6400000,100.5300000,100.6500000,61767390
20140117,000000,100.3600000,101.4500000,100.1000000,101.1700000,68773290
20140120,000000,100.9800000,102.1700000,100.6600000,101.9600000,62337570
20140121,000000,102.5100000,102.5700000,101.9000000,102.2000000,61308500
20140122,000000,102.2200000,102.4900000,101.1300000,102.1700000,58206310
20140123,000000,101.8400000,102.9200000,101.6000000,101.7000000,69805260
20140124,000000,100.9800000,101.2600000,99.6300000,99.7000000,112248310
20140127,000000,98.6300000,99.1100000,97.6300000,97.7800000,103561390
20140128,000000,98.2100000,98.7400000,97.0500000,97.3600000,79434430
20140129,000000,97.9100000,98.9800000,95.7300000,95.9800000,119457690
20140130,000000,96.1700000,96.6900000,94.4000000,95.8000000,129968320
20140131,000000,95.8100000,96.2700000,94.4300000,94.7000000,101764150
20140203,000000,94.9400000,95.8900000,94.5500000,94.6600000,80958490
20140204,000000,93.5300000,94.4800000,93.2500000,94.0700000,93253550
20140205,000000,94.3100000,95.6500000,94.0100000,95.4500000,90052780
20140206,000000,95.7900000,96.8100000,95.6500000,96.6200000,75844680
20140207,000000,97.0000000,97.3600000,96.1100000,96.5300000,77422640
20140210,000000,96.9300000,97.0800000,95.4200000,95.4700000,67475180
20140211,000000,95.9300000,96.6500000,95.5100000,96.1200000,54494820
20140212,000000,96.8800000,97.1400000,96.1500000,96.8400000,69415130
20140213,000000,96.3500000,96.6900000,95.3000000,95.5000000,61711220
20140214,000000,95.8100000,96.8400000,95.7000000,96.6500000,63293070
20140217,000000,97.1100000,98.0800000,97.0900000,97.4900000,54516030
20140218,000000,97.5000000,97.9500000,96.5500000,96.6200000,56507370
20140219,000000,96.5100000,96.5900000,94.5300000,94.9000000,78880090
20140220,000000,94.1400000,94.7600000,93.6100000,94.6300000,71842660
20140221,000000,95.0300000,95.4400000,94.5100000,95.0000000,51882710
20140224,000000,95.0000000,95.0900000,94.0600000,94.6900000,47770930
20140225,000000,95.2400000,95.4800000,93.3200000,94.1700000,74366490
20140226,000000,94.3000000,94.5900000,91.8500000,92.2900000,90137500
20140227,000000,92.5000000,92.6100000,89.4000000,90.1200000,127765610
20140228,000000,90.1600000,91.4200000,88.8700000,91.1600000,111397500
20140303,000000,85.4300000,86.8400000,74.9600000,77.5700000,425351620
20140304,000000,78.5000000,83.9000000,77.1700000,81.5500000,371675100
20140305,000000,82.3800000,82.7700000,80.1200000,81.4600000,175025610
20140306,000000,81.6700000,83.8100000,76.5600000,80.2400000,281239140
20140307,000000,80.0000000,81.4600000,78.3400000,79.9900000,189902710
20140311,000000,79.1000000,79.7500000,76.3900000,76.5700000,149382470
20140312,000000,75.9500000,76.3600000,72.3500000,72.4600000,225749030
20140313,000000,73.5000000,73.8900000,68.8700000,69.8400000,255804680
20140314,000000,68.0000000,71.7500000,65.3300000,71.7500000,345592550
20140317,000000,72.5200000,77.1200000,71.8700000,76.9700000,342638310
20140318,000000,77.5900000,81.9600000,75.6400000,81.4300000,295403160
20140319,000000,81.5800000,82.6000000,79.1300000,80.8300000,257068520
20140320,000000,79.5300000,81.2700000,78.4300000,79.5000000,187068190
20140321,000000,77.1800000,78.5100000,76.1000000,78.4700000,205929320
20140324,000000,78.4700000,80.3800000,77.8200000,78.2900000,167001610
20140325,000000,78.7900000,81.9700000,77.3400000,81.8500000,251405660
20140326,000000,82.0900000,84.3400000,82.0200000,82.5600000,228863330
20140327,000000,82.1700000,82.7200000,79.2000000,79.8800000,184234530
20140328,000000,80.4100000,81.9600000,79.6700000,81.4700000,151787230
20140331,000000,81.3800000,83.8000000,81.1200000,83.8000000,178306630
20140401,000000,84.0200000,84.6800000,82.7500000,83.8800000,154794710
20140402,000000,83.9900000,84.1800000,81.4400000,82.6700000,143012870
20140403,000000,82.8700000,83.3900000,81.2100000,81.5100000,127696690
20140404,000000,81.9200000,83.3000000,80.8500000,82.9800000,147012990
20140407,000000,81.8700000,81.8700000,78.8700000,79.9500000,236516810
20140408,000000,79.8300000,80.0000000,78.5100000,79.4100000,163430380
20140409,000000,79.8100000,80.1000000,77.7500000,78.8500000,161285600
20140410,000000,79.2300000,80.4400000,78.5100000,79.9000000,178195550
20140411,000000,78.7100000,80.0700000,77.6500000,79.7500000,153404510
20140414,000000,79.1100000,79.1100000,77.5000000,78.3500000,190436280
20140415,000000,78.0000000,78.3400000,75.1000000,75.2000000,190435090
20140416,000000,75.9500000,76.5000000,73.6200000,76.1300000,271631300
20140417,000000,75.9900000,77.2100000,75.2000000,76.8900000,201099750
20140418,000000,78.3800000,79.4000000,78.2200000,78.8200000,114017230
20140421,000000,78.7900000,78.7900000,77.4600000,77.6200000,83430240
20140422,000000,77.4700000,77.4700000,75.6000000,76.3000000,135244390
20140423,000000,76.1700000,76.5100000,75.1200000,75.5600000,133220040
20140424,000000,75.8600000,76.1100000,71.8100000,73.2100000,251170500
20140425,000000,73.0500000,73.1000000,69.5600000,69.9100000,296898320
20140428,000000,68.9700000,73.7000000,67.9000000,73.3900000,382475910
20140429,000000,74.1900000,74.6600000,72.3000000,72.8000000,183928440
20140430,000000,72.5200000,73.1000000,71.4800000,72.5000000,109019770
20140502,000000,71.9900000,72.5000000,70.8900000,72.2200000,64175790
20140505,000000,71.3500000,72.4400000,71.0100000,71.9900000,67071430
20140506,000000,72.3300000,74.3000000,72.3200000,74.1000000,129514070
20140507,000000,73.2400000,80.3700000,73.1600000,78.5000000,270884430
20140508,000000,78.8800000,80.2500000,77.5700000,78.8000000,248478290
20140512,000000,78.8000000,79.9000000,77.7300000,79.0800000,164414090
